,open,high,low,close,volume,symbol,sma_5,sma_20,sma_50,daily_return,volatility,momentum_5,momentum_20,volume_change,hl_spread
2025-07-03,493.81,500.13,493.44,498.84,13984829.0,MSFT,,,,,,,,,0.013411113783978827
2025-07-07,497.38,498.75,495.225,497.72,13981605.0,MSFT,,,,-0.0022452088846122153,,,,-0.00023053553246876746,0.007082295266414806
2025-07-08,497.24,498.2,494.11,496.62,11846586.0,MSFT,,,,-0.002210077955477008,,,,-0.15270199665918183,0.008235673150497311
2025-07-09,500.3,506.78,499.74,503.51,18659538.0,MSFT,,,,0.013873786798759502,,,,0.5750983447889544,0.013981847431034068
2025-07-10,503.05,504.44,497.75,501.48,16498740.0,MSFT,499.634,,,-0.004031697483664609,,,,-0.11580125938809416,0.013340512084230672
2025-07-11,498.47,505.03,497.795,503.32,16459512.0,MSFT,500.53000000000003,,,0.003669139347531214,,0.008980835538449305,,-0.002377636110393877,0.014374552968290466
2025-07-14,501.515,503.97,501.03,503.02,12058848.0,MSFT,501.59,,,-0.000596042279265685,,0.010648557421843563,,-0.2673629692058914,0.005844698023935539
2025-07-15,503.02,508.3,502.79,505.82,14927202.0,MSFT,503.43,,,0.005566379070414795,,0.01852523055857591,,0.23786301975114044,0.010893203115732851
2025-07-16,505.18,506.72,501.89,505.62,15154374.0,MSFT,503.852,,,-0.00039539757225892647,,0.004190582113562824,,0.015218659196813977,0.009552628456152923
2025-07-17,505.68,513.37,505.62,511.7,17503129.0,MSFT,505.896,,,0.012024840789525593,,0.020379676158570614,,0.154988586133614,0.015145593120969318
2025-07-18,514.48,514.64,507.43,510.05,21209666.0,MSFT,507.242,,,-0.0032245456322063104,,0.013371215131526615,,0.21176425083766448,0.014135869032447759
2025-07-21,506.705,512.09,505.55,510.06,14066805.0,MSFT,508.65,,,1.9605920988041703e-05,,0.013995467377042603,,-0.33677385584478325,0.012822020938713133
2025-07-22,510.97,511.2,505.27,505.27,13868644.0,MSFT,508.53999999999996,,,-0.009391052033094205,,-0.0010873433237119645,,-0.014087136346881857,0.011736299404278915
2025-07-23,506.75,506.79,500.7,505.87,16396585.0,MSFT,508.59,,,0.00118748391948853,,0.0004944424666746272,,0.1822774454373477,0.012038666060450376
2025-07-24,508.77,513.67,507.3,510.88,16107000.0,MSFT,508.42600000000004,,,0.009903730207365458,,-0.0016025014657025105,,-0.017661299593787372,0.012468681490760938
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0,MSFT,509.158,,,0.00553946132164107,,0.00717576708165879,,0.18741534736449994,0.015438282299351727
2025-07-28,514.08,515.0,510.12,512.5,14308027.0,MSFT,509.646,,,-0.002355414533491751,,0.004783750931262931,,-0.2518952117776192,0.009521951219512187
2025-07-29,515.53,517.62,511.56,512.57,16469235.0,MSFT,511.10600000000005,,,0.00013658536585370307,,0.01444772102044456,,0.15104863864179174,0.011822775425795504
2025-07-30,515.17,515.95,509.435,513.24,26380434.0,MSFT,512.58,,,0.0013071385371752342,,0.01456896040484712,,0.6018008122417344,0.012693866417270756
2025-07-31,555.225,555.45,531.9,533.5,51617326.0,MSFT,517.104,507.765,,0.039474709687475684,,0.04427654243658008,,0.9566518882896315,0.044142455482661797
2025-08-01,535.0,535.8,520.86,524.11,28977628.0,MSFT,519.184,509.0285,,-0.017600749765698143,0.011201542987329846,0.02024488524653978,0.0506575254590651,-0.4386065640052722,0.028505466409723037
2025-08-04,528.27,538.25,528.13,535.64,25349004.0,MSFT,523.812,510.92449999999997,,0.021999198641506457,0.011944491231224586,0.04515121951219503,0.07618741461062428,-0.12522156747957425,0.018893286535732964
2025-08-05,537.18,537.3,527.24,527.75,19171569.0,MSFT,526.848,512.481,,-0.01473004256590249,0.012583969879139569,0.0296154671557054,0.0626837420965729,-0.24369537359337667,0.01906205589767872
2025-08-06,530.9,531.7,524.03,524.94,21355702.0,MSFT,529.188,513.5525,,-0.005324490762671608,0.012451933967588232,0.02279635258358681,0.04256122023395781,0.11392562601422962,0.014611193660227973
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0,MSFT,526.6560000000001,514.5205,,-0.007810416428544298,0.012578830766547758,-0.02373008434864099,0.038605727047938077,-0.24707958558327892,0.020234428999308832
2025-08-08,522.6,524.66,519.41,522.04,15531009.0,MSFT,526.242,515.4565,,0.002303970509177411,0.012572827801604266,-0.0039495525748413085,0.03719303822617803,-0.034089812243736306,0.010056700635966594
2025-08-11,522.3,527.59,519.72,521.77,20194372.0,MSFT,523.4680000000001,516.394,,-0.0005172017469925461,0.012572015771283905,-0.025894257337017446,0.0372748598465269,0.3002614318232639,0.0150832742396075
2025-08-12,523.75,530.98,522.7,529.24,18688921.0,MSFT,523.766,517.5649999999999,,0.014316652931368301,0.012855183325849812,0.002823306489815325,0.04630105571151799,-0.07454804734705289,0.015645075957977424
2025-08-13,532.11,532.7,519.37,520.58,19619160.0,MSFT,522.894,518.313,,-0.01636308669034836,0.013513221645216835,-0.008305711128890891,0.0295874372058067,0.04977489069593699,0.025606054785047523
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0,MSFT,523.222,518.8520000000001,,0.003649775250681886,0.013299443837684057,0.0031487596958759134,0.021067031463748442,0.03312649471231177,0.011119851477568462
2025-08-15,522.77,526.1,519.08,520.17,25213272.0,MSFT,522.848,519.358,,-0.004421221864951863,0.013322718822971565,-0.003582100988430037,0.019841192039995903,0.24392816366450676,0.01349558798085238
2025-08-18,521.585,522.82,514.02,517.1,23760583.0,MSFT,521.914,519.71,,-0.005901916681084862,0.013412696941904542,-0.008950303773693324,0.013802297768890082,-0.05761604443881774,0.017017984915877138
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0,MSFT,518.02,519.935,,-0.014175207890156694,0.013644119011501655,-0.03678860252437466,0.00890612939616453,-0.09593901799463422,0.012974674853365148
2025-08-20,509.865,511.0,504.44,505.72,27723025.0,MSFT,515.048,519.9275,,-0.007944759401298573,0.013773189763945894,-0.0285450843290177,-0.0002965188684839193,0.29058257765833795,0.012971604840623274
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0,MSFT,511.4,519.5955,,-0.0029265206042869973,0.013588833931496559,-0.03491042719338544,-0.012997181334168495,-0.3347315453490375,0.009737228303982217
2025-08-22,504.25,510.73,502.41,507.23,24324161.0,MSFT,508.812,519.2715000000001,,0.005929716008250097,0.013598341069181915,-0.024876482688351742,-0.012614120807459495,0.3188649356561484,0.016402815290893664
2025-08-25,506.63,508.19,504.12,504.26,21638579.0,MSFT,506.244,518.8595,,-0.005855331900715743,0.013645268355955767,-0.02483078708180242,-0.016078048780487797,-0.11040800132839113,0.008071233094038776
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0,MSFT,504.69800000000004,518.333,,-0.004402490778566581,0.013667953901560056,-0.01516370127704647,-0.020543535517100198,0.42503391743053,0.012883037208190604
